,Album,Title,Lyrics,Language
35,Stairway To Valhalla,17. The Quest For Carrefour,"
Odin, Thor, Frey and Loki
Under the banner of Camembert
Drinking with onion and pride
Hydromel and 7Up!	
Welcome where skewers stands still	
Welcome to the barbecue of the Gods
The Barbecue of the Gods

But as the champagne they uncorked
The prophecy was fulfilled
Sauron the master of the onion rings
Made all of our barbecue sauce expire
So they sent us on a hunt for the grocery store
But then we lost our way

We were lost on our quest for Carrefour
Searching for the gourmet barbecue sauce!

Oh they'll be lost forevermore

One Onion Ring to appetize them all
One Onion Ring to main dish them all
One Onion Ring to garnish them all
And in the plat du jour bind’ em all
(he’s dangerous)
One Onion Ring to grease them all
One Onion Ring to gormandize them all
One Onion Ring to fatten them and bind’ em there
In the land where the obese lie

We will find a way
To destroy the onion ring
Dip it in the Bourguignonne
An offer to the picnic gods
Yes we will find the way
To spread fromage de chevre
On our baguette
And finally move on to the dessert!

We were lost on our quest for Carrefour
Searching for the gourmet barbecue sauce!
Will we ever reach the counters?
Will they accept our Mastercard?
Will we ever cross the sliding doors?
Will we ever come back home again?

Still I smell the scent of skewers
Cucify! Crucify!
Still I hear the screams of thousands
Roastify! Roastify!

One day we will taste the delicious
Michelin awarded creme chantilly
Made by careful and knowledgable hands of Frigg
With a ancient runic receipe

We were lost on our quest for Carrefour
Searching for the holy barbecue sauce!

",en
36,Stairway To Valhalla,16. The Crown And The Onion Ring,"

",unknown
37,Stairway To Valhalla,15. Uranus,"
I like it big, I like it cold
I like it blue, I like it bold
I like it with a two % of methane
It’s Uranus!

I want it icy, I want it large
I want it spicy, with electric charge
Fluid outside and rocky inside
Like Uranus!

Pluto, Pluto
You're cold and far, not even a planet
Venus, Venus
Too much CO2!
Mars, Mars, Mars, Mars
Ain't enough magnetosphere
There's only a place where I wanna go!
I'm gonna head right to Uranus

Uranus, Uranus
Coz I’m an astronomy aficionado
I wanna observe Uranus
Uranus, Uranus
My shuttle's fast like a torpedo
It's gonna pierce Uranus

A 6.2 inch telescope
Held in Willam Herschel's hands
Allowed the world to see how wide
Is Uranus!

No more a hobby, for the few
",en
38,Stairway To Valhalla,14. Bum Voyage,"

",unknown
39,Stairway To Valhalla,13. Ironmonger (The Copier Of The Seven Keys),"
Master of the allen wrench
Riding a mighty lawnmower for revenge
In the realm of the screws he’s the king
And Lord of the Towel Rings

Edison of the lightbulb
Leonardo of the shower tray
Renzo Piano of the gas pipes
David Hasselhoff of the glue
Einstein of the screwdriver
Plato of the kick plates
Hemingway of the instructions
Translated into Dutch

Bricolage! With the power of Black & Decker
Bricolage! And the magic of Leroy Merlin
Bricolage! Praise the wisdom of Rowenta
In the name of the almighty Bosch!

Hail to the affordable Ironmonger
Prophet of bricolage of the last eclipse
Purchase cutting edge items at the Ironmonger's
Ineffable copier of the seven keys
You’re the Spongebob of promotions on the glue!

Warlock of the doorknob of steel
Wizard of the doorlock of hell
Baywatcher of the batteries' polarity
Hobgoblin of the customer satisfaction

Heart of utensil
On your ear there’s a pencil
No one can outcompete your trueness
in the retail sellers branch
You also sell mosquito nets
In the tropical regions
But not DDT anymore
For international restrictions

Hail to the affordable Ironmonger
Prophet of bricolage of the last eclipse
Purchase cutting edge items at the Ironmonger's
Ineffable copier of the seven keys
You’re the bishop of the offers on the nails!

The hammer of Thor
The scalpel of Thor
The screwdriver of Thor
The lifepreserver of Thor
The cousin of Thor
The grandfather of Thor
The boyfriend of David Hasseloff

Hail to the affordable Ironmonger
Prophet of bricolage of the last eclipse
Purchase cutting edge items at the Ironmonger's
Ineffable copier of the seven keys
And this song is all about David Hasselof!

",en
40,Stairway To Valhalla,12. Another Drill In The Wall,"

",unknown
41,Stairway To Valhalla,11. Vegan Velociraptor,"
He drives his eco-friendly Tesla Motors police-tank
Non-disposable hero, in a cloak made of hemp
Lethal cereal killer completely sugar free
Drowning enemies in pots of herbal tea

It's known that a lentil-based diet
Is the cause of a strong flatulence
His bum pollutes with CO2
So bears abandon the arctic too
And deserve it 'cos they eat fish anyway

Ah! Vegan velociraptor
Broccolini hunter, saviour of the environment
Ah! Vegan velociraptor
Fighting speciesism and reversing the food chain

Sheriff of the livestock against animal abuse
Replacing choco milkshakes with lime and carrot juice
But he's got to be careful when patrolling the town
As the carnivorous cow's lurking around

In league with the Bacon Street Boys
She feeds cattle with meat and steroids
Blended with opium and bamboo
Bovines become addicted too
Turning into narco-prostitutes

Ah! Vegan velociraptor
You zucchini butcher, mother nature's playful friend
Ah! Vegan velociraptor
Fighting speciesism and reversing the food chain

On a bad day took place a very bad thing
As this very bad cow and her very bad crew
Very impolitely raped a young groundhog
Named George W. Sanchez

There came Gargamellor the moderate T-Rex,
Complaining ‘bout the gang's inappropriate ways
But the evil bovines went berserk and devoured him alive

Mild Gargamellor! Polite Gargamellor!
Taxpayer Gargamellor! “Cowfood” Gargamellor!

George W. Sanchez! Poor bullying victim
George W. Sanchez! Your ass bled for us all
George W. Sanchez...

[Vegan velociraptor:]
Damn you, ill-bred evildoers
I hereby declare you under arrest
You killed my friend Gargamellor
And impolitely raped Herr W. Sanchez
You have the right to remain silent
You have the right to an attorney,
Anything you say can and will be used
Against you in a court of law

[Carnivorous cow:]
I'll extinct you, filthy dromaeosaurid,
Your days are numbered, you're about to die!
You entered the wrong jurisdiction,
'Cos the law enforced here is the Bill Of Rights
That grants the right to rape a groundhog (impolitely)
Or grants the right to eat a T-Rex
But grants the right to do both of the above
If one is called George W. Sanchez!

That said the cow launched her assault
Hitting his throat with a turbo-flying kick
VV was counterattacking
Firing with bullets made out of soy beans

Until the cow took a secret potion, to prevail over the dinosaur

A mixture of prions and elephant scurf that made her... Invincible!

Contracting ""Mad Cow Disease"" and hence being
Slaughtered by the FDA authorities

Still drives an eco-friendly Tesla Motors police-tank
The vice mayor promoted him to a prestigious rank
Lieutenant of seitan brigadier of seeds
Feldmarshall of the cruelty free recipes

His macrobiotic meals
Enriched with proteinic pills
Drowned in a sea of rice and soy
Fill everyone with peace and joy
But not Sanchez, still bleeding from his ass

Ah! Vegan velociraptor
Slaughterer of eggplants, Jurassic animalist
Ah! Vegan velociraptor
Fighting speciesism and reversing the food chain
Ah! Vegan velociraptor
Broccolini hunter, saviour of the environment
Ah! Vegan velociraptor
Fighting speciesism and reversing the food chain

Here comes the meteorite!

",en
42,Stairway To Valhalla,10. Tooth Fairy,"
Floating in the night on your butterfly wings
Sneaking in the room while the infant is asleep
Eye for an eye, coin for a tooth
Tooth Fairy, do you know
The financial impact of your deeds?

Did anybody tell you that by inflating money supply
You’re distorting the structure of production?
Did anybody tell you that P*Q=M*V
You’re responsible for the rise of the interest rates!

Tooth Fairy, your policies are inflationary
Like a helicopter drop
Your donations push up aggregate demand
",en
43,Stairway To Valhalla,9. ...and Then I Noticed That She Was A Gargoyle,"
Picking up teens in a ""Twilight"" chat room
Listening to Adele on my own
One day I met an attractive lady
Whose nickname was Sharon Stone

We shared many common interests
E.g. Medieval architecture
So I took her out for a fancy dinner
Her statuesque beauty took my breath away.

And then I noticed that she was a gargoyle
I should have checked the fine print long ago
And then I noticed that she was a gargoyle
She was a maniac, maniac and a gargoyle

How could you be such a retarded moron?
Didn't you check her profile before?

I just read MILF in the ""about me"" section
I didn't get that ""M"" stood for ""Monument""

Well, it's usual to fall in the trap
Chat with an angel and go out with a crap
But tell me, what d'you mean by ""gargoyle""
Was she wrinkly? Was she fat?

No! I'm telling you she was a freaking gargoyle
That thing you see on Batman Begins
She was exactly what you would see
If you'd google ""gargoyle""
And instead of boobs she got two black bricks of stone!

And then he noticed that she was a gargoyle
He thought her avatar was just an avatar
And then he noticed that she was a gargoyle
And I also had to pay her cub to Notre Dame

But as I drove back home that night
Her tender snout still in my eyes
Left just confusion in my mind
Is it true love or is it just a crush on 12th century French sculpture?

And then I noticed that I like the gargoyles!
I'll be jerking off on ""Batman Forever""!
And now I notice that I like the gargoyles!
'Cause I got maniac, maniac for gargoyles!
I also like Rolling Stones

",en
44,Stairway To Valhalla,8. In The Sky,"
Fire in the sky
Firefighters in the sky
To extinguish the fire in the sky

Air in the sky
Apple in the sky
Chasing Steve Jobs in the sky

Lucy in the sky,
John Lennon in the sky
George Harrison is also in the sky!

Ride and fly high, high, high, high
Very very high, in the sky!
The ladder in the sky
Is better than the stairway to heaven
Forever and ever in the sky!

Clouds in the sky
Bad weather in the sky
Umbrella shields the rain from the sky

Sun in the sky
Moon in the sky
The whole solar system in the sky
HAARP in the sky
Chem trails in the sky
The sky is conspiring in the sky
Ride and fly high, high, high, high
Very very high, in the sky!
To be in the sky
Is better than not to be in the sky
Forever and ever in the sky!

",en
45,Stairway To Valhalla,7. Images And Swords,"
Uhm, yeah, yeah, very good... But they're nothing like Dream Theater
Oh, really? Do you know how Dream Theater make their sophisticated music?
No.
Well, it's easy: They just scratch a Manowar CD with a screwdriver drawing a large cock and then it's done.
That's impossible; Prove it to me!
Here it comes!
I told you.

",en
46,Stairway To Valhalla,6. L'opelatole Ecologico,"
Protettor dei marciapiedi? Ma-ki è, ma-ki è?
Ninja dell'igiene? Chi sarà, chi sarà?
Shogun dei cassonetti? Dicci un po', dicci un po'?

È l’opelatole ecologico!
È l'opelatole ecologico!

Affronta i mozziconi e pulisce il marciapiede
Nel suo camion-cassonetto Sol-levante
Ogni fogliaccia trema al suo passaggio immantinente
Per il suo Kimono catarifrangente

Lui divora spazzatura ricoperta di tempura
Il detrito spazza via con lo Tsunami
Arigato la fiancata, della vettura mal parcheggiata
Che del rifiuto impediva la rimozion

Mozziconi! Mozziconi!
Harakiri! Kiricori!
Fogliaccioni! Fogliaccioni
Compost

Non sporcare la città con la tua incuria
Altrimenti incapperai nella sua furia
Se orini dal balcone, se il tuo cane fa un ricordino
Presto l'ira invereconda assaggerai... del

Netturbino! Prode samurai
Netturbino! Marciapiede in the sky
Netturbino! Sul camion ti aggrappi
Per un futuro più eco-sostenibile

Sushi-ta rispetto e terrore tra i bidoni
Con la sua magica ka-tana libera tutti
Rimuove anche nakagata, al grido di BANZAI
Con la sua fida scopa samurai

Non sporcare la città con la tua incuria
Altrimenti incapperai nella sua furia
Seppuku puku lo fai incazzare
Se lo scambi per mandarino
Dalla carta ti separerà perché... è un ninja

Netturbino! Ninjenizza per noi
Netturbino! Immondizia awaits
Netturbino! Sul camion ti aggrappi
Per un futuro più eco-sostenibile di prima

Lotta per le aziende municipalizzate
Di raccolta di rifiuti
Anche se a volte lo Shogun controlla gli appalti...
Netturbino, tu, come dire...

Mozziconi! Mozziconi!
Harakiri! Kiricori!
Fogliaccioni! Fogliaccioni
Accannate co' sti cori!

Non sporcare la città con la tua incuria
Altrimenti incapperai nella sua furia
Se orini dal balcone, se il tuo cane fa un ricordino
Presto l'ira invereconda assaggerai...
Non sporcare la città con la tua incuria
Altrimenti incapperai nella sua furia
Seppuku puku lo fai incazzare
Se lo scambi per mandarino
Dalla carta ti separerà perché... è un ninja

Netturbino! Prode samurai
Netturbino! Marciapiede in the sky
Netturbino! Sul camion ti aggrappi
Per un futuro che sarà eco-sostenibile a go-go

Ma finisce così la canzone?
No!

",it
47,Stairway To Valhalla,5. Il Maestro Myagi Di Pino,"

",unknown
48,Stairway To Valhalla,4. Heavy Metal Kibbles,"
Crispy! Tasty! Nasty!
Spicy and dry
Nutritious! Delicious! Nectarous!
Sweet delight
Salty! Ethnic! Proteinic!
With phenylalanine
Mellow! Feeding! Refreshing!
Enhancing your feline

Chicken power pet’s desire
Make your “Kitty” become
A bloodthirsty nightcrawler of doom
With the heavy metal

Kibbles Kibbles
Meow! Meow! Meow! Meow!

Taurine! Heroin! Urine!
And a pinch of salt
Rat sauce! Mouse sauce! Mao sauce!
To feed the revolt

Strong and nutrient, taste of Nutria
Let your “Stinky“ become
A cobold dragon slayer with fire resistance +10
With the heavy meow-tal

Kibbles Kibbles
Meow! Meow! Meow! Meow!

Blaze of catnip, iron pic-nic
Make your “Mittens” drive your car
He will also wash your clothes
Take you out to pee in the park!

Kibbles Kibbles
Meow! Meow! Meow! Meow!

",en
49,Stairway To Valhalla,3. The Call Of Cthulhu,"
Master of evil, squid of darkness
Octopus of inferno and hell
Dead you lie sleeping, in eternal siesta
Counting two Tera-sheep

When death dies thy time shall be
To unleash upon us plankton and death
So hear the voice of your colf summoning thee
Waiting for the call of Cthulhu!

Blllw blllw blllw bllw! Aaaahhhhh!

Call of Cthulhu! Lalalalalalalala

Cthulhu the ancient, bringer of bills
Lord of Telekom Rl’yeh
Appear in your subscribers dreams
Advertising tariffs of pain and convenience

Send the world your death SMS
Forwarding animated doomsday gifs
When thy kingdom rises once again
Hire us first in the mighty call center of Cthulhu!

Blllw blllw blllw bllw! Aaaahhhhh!

Call of Cthulhu! Lalalalalalalala

",en
50,Stairway To Valhalla,"2. Barbie, Milf Princess Of The Twilight","
Wonderful lady of charming might
Of mystic accessories and vintage revolving light
A sorceress trapped in a luxury spa
Unleash the bucolic adventures that my camper yields
Hair in the wind
Mould the horizons
Shining blue eyes
Forest and lakesYes, I am a Barbie

Emerald, Emmenthal
Fontina, Taleggio, Madre Stagionata nel tempo!

Princess of the twilight!
No hole between your cheeks
Driving glamour SUVs with fashion style and steel

Barbie, MILF princess of the twilight
The mistress of the moonlight
With botox made in China by Mattel
Barbie, your boobs of carbon-iron
Beguile the Dino-Sauron
With Dildo faggins always at your side

Barbie, barbie, princess of the twilight
Candles in the Winx!
Barbie, barbie, princess of the twilight
Brazzers in the Braz

Raise to the sky mighty handbags of amber
Hail to the gods with your iron lip gloss
Seize the bargains of Black Friday in November
To reach for the thong made of dental floss
Comb with power your mighty hairstyle
On my little pony you fly
With your poisonous lipstick you’ll kill’em all
To reach the divine shopping mall
Ride the uniporn! Raperonzolo!
So trendy you’ll fight
The fashiongods pantheon will be your guide

Princess of the twilight!
No nipples on your tits
Polly Pocket wants a Cracker like Cobain once said!

Barbie, MILF princess of the twilight
The mistress of the moonlight
With botox made in China by Mattel
Barbie, your legs enshrine the power
To entrap the black lord’s tower
But not before he buys you a fur coat!

Barbie Mordor, Barbie cobaltum
Barbie flamethrower, Barbie papà
Barbie napalm, Barbie Rob halford
Barbie Turilli, Barbie turics!

Barbie dungeon, Barbie and dragons
Barbie warhammer, Barbie WoW
Barbie the magic, Barbie the gathering
Unholy Warcraft!

Emerald, Emmenthal
Cortina d’Ampezzo, Jerry Calà in controtempo

Maraca – Barbie, MILF princess of the twilight
The mistress of the moonlight
With botox made in China by Mattel
Barbie, your boobs of carbon-iron
Beguile the Dino-Sauron

",en
51,Stairway To Valhalla,1. Declination,"
Rosa, Rosae, Rosae!
Rosam, Rosa, Rosa!
Rosae, Rosarum, Rosis
Rosas, Rosae, Rosis!

Consecutio temporum
Hic Haec Hoc - Cip et Ciop
Quorum, referendum
Grattatio pallorum
Hi, Hae, Haec - Qui Quo Qua
Omnia pericula fugit

Rex, regis, regi, regem
Dragonum ad personam
Reges, Regum, Regibus,Reges
Eiacula iacta est
Domus, domus, domui, domum
Intro rapsodorum
Domus, domum, domibus, domos,
Do ut sex

Spes spei, spei, SPEM!

",pt
52,Italian Folk Metal,15. Biancodolce,"
Arriva ineluttabile l'ennesimo mattone
Lanciato da ogni radio e televisione
La senti in ogni istante, fino a diventare scemo
La melodia lagnosa del brano di Sanremo

Ti entra nella testa, per non andar più via
Martella le cervella, è una lenta agonia
Dov'è la fine ultima di questa tortura?
Chi è che straccerà questa dannata partitura?

La SIAE?
L'INPS?
La Settimana Enigmistica?
La DIGOS?

Dal Salento si è alzata 'sta canzone popolare
Di cui poi non ci siamo più potuti liberare
Queste note negramare come una maledizione
Ritornano e ritornano in ogni canzone

Tre note che potrebbero anche essere invertite
Continuano a non farlo e adesso io ho l'orchite
Si dice che la musica ti entri sotto pelle
Io dal canto mio però ne ho già piene le p...

Un ventennio di canzoni con la stessa melodia
L'ha fatto anche Elio, ma era una parodia
C'è chi ci ha costruito una carriera intera
Non mi riferisco ai Negramaro
Ma i Negramaro sono un ottimo esempio

E ora pensa, prima di cantare
Pensa, prima di ammorbare
Pensa a quel disgraziato, che poi ti dovrà ascoltare
Pensa che quella persona potrebbe spararti senza pensare

Caterina Caselli?
Gli Illuminati?
Zio Michele?
Beppe Vessicchio?

Dal Salento si è alzata 'sta canzone popolare
Di cui poi non ci siamo più potuti liberare
Queste note negramare come una maledizione
Ritornano e ritornano in ogni canzone

Tre note che potrebbero anche essere invertite
Continuano a non farlo e adesso io ho l'orchite
Si dice che la musica ti entri sotto pelle
Io dal canto mio però ne ho già piene le p...

Submits, comments, corrections are welcomed at webmaster@darklyrics.com
NANOWAR OF STEEL LYRICS
]",it
53,Italian Folk Metal,14. Formia,"
Dimmi dove vai, che cosa fai?
Dimmi se lo sai, mi hai fatto male ahi!
Ma quanti anni hai? Io vivo alle Hawaii
Il deodorante spray, lo compro alla CRAI

E voglio andare a Formia, a Formia
A farmi fare la cresta, da Paparesta
E voglio andare a Formia, a Formia
A farmi fare la cresta
Ahi fai sai, per fare rima manca solo dai

Ho una fascetta in paille
Con una scritta in braille
Che ho vinto alla SNAI
Col Galatasaray

Adesso mangio Thai
Mentre mi guardo Sky
Lo so, mi mancherai
Se gioco a Sciangai

E voglio andare a Formia, a Formia
A farmi fare la cresta, da Paparesta
E voglio andare a Formia, a Formia
A farmi fare la cresta
Ahi fai sai, per fare rima manca solo dai

E voglio andare a Formia, a Formia
A farmi fare la cresta, da Paparesta
E voglio andare a Formia, a Formia
A farmi fare la cresta
Ahi fai sai, per fare rima manca solo dai

",it
54,Italian Folk Metal,13. El Baile Del Viejo Que Mira Las Obras,"
El baile del viejo que mira las obras
Que observa y controla al trabajador
El baile del viejo que mira las obras
De la construcción es el supervisor
De la construcción es el supervisor

Tirantes bien puestos, postura de asalto
Dientes postizos, hipertensión
Si huele de lejos que ponen asfalto
Se toma un chupito y entra en acción
Se toma un chupito y entra en acción

Brazos cruzados detrás de la espalda
Vigilando obreros que instalan el gas
Su baston de madera siempre le respalda
Aunque se duerma echado hacia atrás
Aunque se duerma echado hacia atrás

El baile del viejo que mira las obras
Que observa y controla al trabajador
El baile del viejo que mira las obras
De la construcción es el supervisor
De la construcción es el supervisor

Su arteriosclerosis es como magia
Que siempre le avisa si algo no va
Le duele la panza por su aerofagia
Tirandose un pedo se levantará
Tirandose un pedo se levantará

Su cuidadora Svetlana le espera en la puerta
Ansiosa de hallar, en su pañal
La bolita blanca, de caucho cubierta
Escondida en la materia fecal
Escondida en la materia fecal

El baile del viejo que mira las obras
Que observa y controla al trabajador
El baile del viejo que mira las obras
De la construcción es el supervisor
De la construcción es el supervisor

Uh la la la, uh la la la - El jubilado
Uh la la la, uh la la la - Observador
Uh la la la, uh la la la - El jubilado
La la la, la la la, la la la la
La la la, la la la, la la la la

Ahora aclaramos un poco este tema
Cuando el abuelo se puso a dormir
Metió en su boca colombiana cena
El majo y bromista, del jefe albañil
El majo y bromista, del jefe albañil

Esta es la historia de Antonio Romero
Un viejo explotado sin ningún pudor
Violado en su más oscuro agujero
Victima de un obrero traidor
Fue preso a pesar de ser muy mayor
Pues desde la celda dirige mejor
Y Pablo Escobar es su admirador

El baile del viejo que mira las obras
Que observa y controla al trabajador
El baile del viejo que mira las obras
De la construcción es el supervisor
De la construcción es el supervisor
De la construcción es el supervisor
De la construcción es el supervisor

Uh la la la, uh la la la - El jubilado
Uh la la la, uh la la la - Observador
Uh la la la, uh la la la - El jubilado
La la la, la la la, la la la la
La la la, la la la, la la la la

Uh la la la, uh la la la - El jubilado
Uh la la la, uh la la la - Observador
Uh la la la, uh la la la - El jubilado
La la la, la la la, la la la la
La la la, la la la, la la la la

",es
55,Italian Folk Metal,12. Der Fluch Des Kapt'n Iglo,"
Fischen! Einfrieren! Panieren!
Bis sie extra knusprig werden
Kochen! Würzen! Anrichten!
Mit der passenden Beilage

Der Pirat der Tiefkühltruhe
Mit Lachs bist du gnadenlos
Lässt Garnelen nicht in Ruhe
Du bist wild wie ein Albatros
Und die Kriegsmarine ist machtlos
Gegen Blitzkrieg-Fischerei
Deine fiesen Angelhaken
Für den Kampf sind schon bereit
Der Fischschwarm wird gebraten
Wird gedünstet und geschmort
Und die Fischvernichtung fängt an ab sofort

Fischen! Einfrieren! Panieren!
Bis sie extra knusprig werden
Kochen! Würzen! Anrichten!
Mit der passenden Beilage

Käpt'n Iglo, der Pirat aus dem Fischmarkt!
Käpt'n Iglo, mit dem weißen Rauschebart
Du der Schrecken der sieben Meere
Grillst den Dorsch auf deinem Speere
Du bist Käpt'n Iglo, Knusperbrösel und Klassenkampf!

Arr!

Du Seefahrer der Blutlache
Unsichtbar wie ein U-Boot
Du verarscht die Küstenwache
Lachst über ihr Fangverbot
Dein Torpedo ist ein Fischstäbchen
Deine Bombe eine Fischboulette
Und dein Feind hat sich ergeben
Dein Angriff hat ihm geschmeckt
Und dein Ziel ist die Panierung
Der gesamten Nordsee
Für jeden Fisch hast du eine köstliche Rezeptidee

Fischen! Einfrieren! Panieren!
Bis sie extra knusprig werden
Kochen! Würzen! Anrichten!
Mit der passenden Beilage

Käpt'n Iglo, der Pirat aus dem Fischmarkt!
Käpt'n Iglo, mit dem weißen Rauschebart
Du der Schrecken der sieben Meere
Grillst den Dorsch auf deinem Speere
Du bist Käpt'n Iglo, Knusperbrösel und Klassenkampf!

Eins, frittierter Zander
Eins, frittierter Zander
Zwei, Naturfilet
Zwei, Naturfilet
Drei, Ofenbackfisch
Drei, Ofenbackfisch
Acht und zwanzig Fischstäbchen
In der Vorteilspackung

Deine Mannschaft ist minderjährig
Aber das ist kein Problem
Ihre Eltern stimmen zu
Und niemand hat was gesehen
Deine Freundschaft ist manchmal
Zu zärtlich und zu liebevoll
Aber man soll einen Fischer
Aus diesen Gründen nicht verurteilen

Käpt'n Iglo, der Pirat aus dem Fischmarkt!
Käpt'n Iglo, mit dem weißen Rauschebart
Du der Schrecken der sieben Meere
Grillst den Dorsch auf deinem Speere
Du bist Käpt'n Iglo, Knusperbrösel und Klassenkampf!
Du bist Käpt'n Iglo, Knusperbrösel und Klassenkampf!

",de
56,Italian Folk Metal,11. Sulle Aliquote Della Libertà,"
[feat. The Rumpled]Fatture di vendita, fatture di acquisto
F24, detraibilità
Report contabili, regime forfettario
Perizie e consulenze, contabilità

Amministrazione e liquidazione
Rateizzazioni, enti previdenzial
Visura camerale, calcolo dell'IRPEF
Scarico dell'IVA, visura catastal

L'imponibile abbatterà
Sulle aliquote della libertà
Tra i cavilli si districherà
Sulle aliquote della libertà
L'imponibile abbatterà
Sulle aliquote della libertà
Tra i cavilli si districherà
Sulle aliquote della libertà

Scatole cinesi, prestanome
Elusione, società offshore
Conto nelle Cayman, doppio passaporto
Un milione cash e lingotti d'or

E i bilanci falsificherà
Sulle aliquote della libertà
E l'erario defrauderà
Sulle aliquote della libertà
E i bilanci falsificherà
Sulle aliquote della libertà
E l'erario defrauderà
Sulle aliquote della libertà

Incontro amichevole, di notte nel bosco
Beretta M9 senza numero serial
Occulta il cadavere, fuga all'aeroporto
Scappa col malloppo con volo El Al

Mandato di arresto, perquisizione
Colloquio galante con il marescià
Pacca sulla spalla, occhiolino ammiccante
Con una bustarella tutto si risolverà

E il caricatore svuoterà
Sulle aliquote della libertà
Ed il socio scomparirà
Sulle aliquote della libertà
In Nicaragua si eclisserà
Sulle aliquote della libertà
La collusione trionferà
Sulle aliquote della libertà

",it
57,Italian Folk Metal,10. Gabonzo Robot,"
[feat. Dr. Pira]Sei un eroe invitto, invincibile
Che il destino ha reso insormontabile
Ospizi, ospedali ed asili incenerirai
Nonostante I malauguri, sempre vincerai

Combatti gli Zampuriani
Maledetta stirpe abominevole
Ma con la tua arguzia
La vittoria deterrai

Vola, Gabonzo Robot
Bombarda I bambini e distruggi I più deboli
Spara, Gabonzo Robot
Il tuo turbomissile preso alla COOP

Vola, vola, trasformati
Vola, vola, agganciati
È successo che sei il vincitore
Vola, vola, trasformati
Vola, vola, agganciati
È capitato che hai vinto

Da Mercatone Z sei giunto qui tra noi
Calpesti canili e chiese, ma che combinaguai
Questi Zampuriani hanno rotto gli zebedei
Ma tu con il tuo maglio li annienterai

Grazie ai miti consigli
Del robot amico Gavinelli
Troverai un pilota
E più scavezzacollo diverrai

Vola, Gabonzo Robot
Bombarda I bambini e distruggi I più deboli
Spara, Gabonzo Robot
Il tuo turbomissile preso alla COOP

Si è verificata la circostanza per cui sono tutti deceduti
Figlio della Belva, ingoia questo maglio che ti porgo
Eradicherò la stirpe Zampuriana alla radice
Distruggerò la loro stella, ovunque essa sia!

Guardi nello spazio
E contempli l'infinito
Qual'è il senso della vita?
Qual'è il senso della COOP?

Vola, Gabonzo Robot
Bombarda I bambini e distruggi I più deboli
Spara, Gabonzo Robot
Spara, Gabonzo Robot
Il tuo turbomissile preso alla COOP

",it
58,Italian Folk Metal,9. Il Signore Degli Anelli Dello Stadio,"
Sarà perchè è uno stregone
Sarà perchè vive in una torre
Sarà perchè è malvagio
Barbalbero pensaci tu

Senti come puzza, senti come puzza, Saruman
Mago de sto cazzo, mago de sto cazzo, Saruman

Sarà perchè è uno stregone
Sarà perchè vive in una torre
Sarà perchè è malvagio
Barbalbero pensaci tu

E il Nazgul è il mestiere più infame che c'è
Quando Frodo usa l'anello un leone è
Ma nella vita sai che spettro è?
Di merda!

Di merda!

E Mordor merda, e Mordor colera!
Sei la rovina della Terra di Mezzo
O Uruk-hai, testa di cazzo
Col nostro arco ti spariamo un altro razzo

Olè! Olè! Olè! Olè!
Olè! Olè! Olè! Olè! Olè! Olè!
Olè! Olè! Olè! Olè!
Olè! Olè! Olè! Olè! Olè! Olè!

Siamo noi, siamo noi!
I campioni delle torri siamo noi
Siamo noi, siamo noi!
I campioni delle torri siamo noi

La disoccupazione ti ha dato un bel mestiere
Mestiere di merda: URUK-HAI!
La disoccupazione ti ha dato un bel mestiere
Mestiere di merda: URUK-HAI!

Solo l'anello, c'avete solo l'anello
Solo l'anello, c'avete solo l'anello

E stiamo qual al fosso di Helm, bloccati sopra il muro
Arriva all'alba Gandalf che ce para pure er culo

Bilbo Baggins carabiniere!
Bilbo Baggins carabiniere!

Lavali, lavali, lavali cor foco!
Monte Fato lavali cor foco!
Lavali, lavali, lavali cor foco!
Monte Fato lavali cor foco!

",it
59,Italian Folk Metal,8. Rosario,"
[feat. Giada Jade Etro]In questa notte di magia
Dopo mesi di agonia
Son finalmente uscito con lei
Soave come il Paradiso
O la provincia di Treviso
Bella, forse troppo per me

Mi dico, ""fuori gli attributi e conquistala""
Hey, ma non letteralmente, o fuggirà
Prenderò coraggio, la bacerò
Ma chi è quello li? Che viene qui?

Rosario! No grazie questa sera proprio no
Rosario! Gli spicci per comprarla non ce li ho
Rosario! Ho anche l'allergia
I fiori valli a vendere a tu' zia!

No caro amico non sono d'accordo
Tu parli da uomo ferito
Che ha ancora una spina nel suo dito
Son qui per volontà divina
Per porgerti questa piantina
Garanzia di almeno una sveltina

Non so quale sia la tua etnia o la tua età
Non so se ti chiami Aziz o Mustafa
La Sacra Coldiretti mi ha mandato qua
Per incrementar la natalità

Rosario! Di Coldiretti io sono il pastore
Rosario! Rabdomante dell'amore
Rosario! Profeta di ogni fiore
Perito agrario del rusty trombone

Questo arbusto che mi hai donato con fare agronomo
Ha irrigato i miei solchi di amor per te
Accudirò con zelo il nodoso tuo bonsai
E vedrai, sul mio latifondo il seme spargerai!

Rosario! Non so senza di te cosa farei
Rosario! Ti insegnerei l'Italiano se lo saprei
Rosario! Oggi ho conquistato lei
Ma domani un'altra rosa arriverà
Domani un'altra rosa arriverà
Domani un'altra rosa

",it
